Match,Time,Result,Player,Team,Opponent,X ball,Y ball,X player,Y player,Game State,Crossed?,Not from Cross,Indirectly from Cross,Directly from Cross
Match 1,2:23,Off Target,Holicharan Narzary,NorthEast United FC,Kerala Blasters FC,2.0,40.0,26.0,17.0,0,Not from Cross,1,0,0
Match 1,23:53,On Target,Koffi N'dri,NorthEast United FC,Kerala Blasters FC,4.0,35.0,25.0,42.0,0,Not from Cross,1,0,0
Match 1,26:44,Off Target,Katsumi Yusa,NorthEast United FC,Kerala Blasters FC,1.0,37.0,20.0,47.0,0,Not from Cross,1,0,0
Match 1,33:59,Off Target,Mohammed Rafi,Kerala Blasters FC,NorthEast United FC,4.0,30.0,17.0,24.0,0,Not from Cross,1,0,0
Match 1,36:19,Off Target,Antonio German,Kerala Blasters FC,NorthEast United FC,4.0,27.0,29.0,36.0,0,Not from Cross,1,0,0
Match 1,42:20,Off Target,Mohammed Rafi,Kerala Blasters FC,NorthEast United FC,3.0,31.0,15.0,33.0,0,Indirectly from Cross,0,1,0
Match 1,42:52,On Target,Nicolas Velez,NorthEast United FC,Kerala Blasters FC,3.0,31.0,6.0,25.0,0,Directly from Cross,0,0,1
Match 1,42:57,On Target,Rowllin Borges,NorthEast United FC,Kerala Blasters FC,3.0,31.0,7.0,24.0,0,Not from Cross,1,0,0
Match 1,44:19,Off Target,Reagan Singh,NorthEast United FC,Kerala Blasters FC,1.0,27.0,27.0,19.0,0,Not from Cross,1,0,0
Match 1,47:47,Off Target,Antonio German,Kerala Blasters FC,NorthEast United FC,NaN,NaN,8.0,33.0,0,Not from Cross,1,0,0
Match 1,49:16,Off Target,Nicolas Velez,NorthEast United FC,Kerala Blasters FC,4.0,29.0,28.0,40.0,0,Not from Cross,1,0,0
Match 1,50:55,Off Target,Antonio German,Kerala Blasters FC,NorthEast United FC,2.0,27.0,21.0,44.0,0,Not from Cross,1,0,0
Match 1,52:51,Off Target,Kervens Belfort,Kerala Blasters FC,NorthEast United FC,1.0,28.0,25.0,37.0,0,Not from Cross,1,0,0
Match 1,55:16,Goal,Katsumi Yusa,NorthEast United FC,Kerala Blasters FC,5.0,35.0,7.0,35.0,1,Indirectly from Cross,0,1,0
Match 1,55:16,On Target,Katsumi Yusa,NorthEast United FC,Kerala Blasters FC,5.0,35.0,7.0,35.0,1,Indirectly from Cross,0,1,0
Match 1,62:17,Off Target,Kervens Belfort,Kerala Blasters FC,NorthEast United FC,1.0,39.0,12.0,27.0,-1,Not from Cross,1,0,0
Match 1,72:25,On Target,Emiliano Alfaro,NorthEast United FC,Kerala Blasters FC,7.0,33.0,15.0,26.0,1,Not from Cross,1,0,0
Match 1,74:1,Off Target,Antonio German,Kerala Blasters FC,NorthEast United FC,1.0,37.0,24.0,42.0,-1,Not from Cross,1,0,0
Match 1,83:1,Off Target,Mohammed Rafi,Kerala Blasters FC,NorthEast United FC,1.0,32.0,7.0,34.0,-1,Not from Cross,1,0,0
Match 2,8:38,Off Target,John Riise,Chennaiyin FC,Atlético de Kolkata,14.0,33.0,30.0,21.0,0,Not from Cross,1,0,0
Match 2,15:50,Off Target,Borja Fernández,Atlético de Kolkata,Chennaiyin FC,16.0,41.0,24.0,28.0,0,Not from Cross,1,0,0
Match 2,19:14,Off Target,Sameehg Doutie,Atlético de Kolkata,Chennaiyin FC,15.0,29.0,35.0,42.0,0,Not from Cross,1,0,0
Match 2,20:21,On Target,Hélder Postiga,Atlético de Kolkata,Chennaiyin FC,21.0,35.0,26.0,32.0,0,Not from Cross,1,0,0
Match 2,21:27,Off Target,Davide Succi,Chennaiyin FC,Atlético de Kolkata,14.0,25.0,30.0,22.0,0,Not from Cross,1,0,0
Match 2,22:12,On Target,Jeje Lalpekhlua,Chennaiyin FC,Atlético de Kolkata,16.0,30.0,32.0,31.0,0,Not from Cross,1,0,0
Match 2,28:11,Off Target,Hélder Postiga,Atlético de Kolkata,Chennaiyin FC,16.0,35.0,33.0,29.0,0,Not from Cross,1,0,0
Match 2,28:58,Off Target,Baljit Sahni,Chennaiyin FC,Atlético de Kolkata,14.0,26.0,31.0,21.0,0,Not from Cross,1,0,0
Match 2,40:18,On Target,Javier Grande,Atlético de Kolkata,Chennaiyin FC,17.0,37.0,40.0,60.0,0,Not from Cross,1,0,0
Match 2,40:42,On Target,Javier Grande,Atlético de Kolkata,Chennaiyin FC,16.0,40.0,17.0,67.0,0,Not from Cross,1,0,0
Match 2,41:15,On Target,Hélder Postiga,Atlético de Kolkata,Chennaiyin FC,18.0,37.0,35.0,38.0,0,Not from Cross,1,0,0
Match 2,50:20,On Target,John Riise,Chennaiyin FC,Atlético de Kolkata,18.0,39.0,26.0,14.0,0,Not from Cross,1,0,0
Match 2,50:46,On Target,Javier Grande,Atlético de Kolkata,Chennaiyin FC,15.0,35.0,26.0,45.0,0,Not from Cross,1,0,0
Match 2,57:46,Off Target,Hélder Postiga,Atlético de Kolkata,Chennaiyin FC,13.0,25.0,25.0,31.0,0,Not from Cross,1,0,0
Match 2,59:9,On Target,Sameehg Doutie,Atlético de Kolkata,Chennaiyin FC,14.0,31.0,21.0,27.0,0,Not from Cross,1,0,0
Match 2,59:9,Goal,Sameehg Doutie,Atlético de Kolkata,Chennaiyin FC,14.0,30.0,20.0,28.0,1,Not from Cross,1,0,0
Match 2,62:54,Off Target,Hélder Postiga,Atlético de Kolkata,Chennaiyin FC,15.0,32.0,38.0,18.0,1,Not from Cross,1,0,0
Match 2,65:45,Off Target,Pritam Kotal,Atlético de Kolkata,Chennaiyin FC,14.0,33.0,33.0,19.0,1,Not from Cross,1,0,0
Match 2,66:49,On Target,Jayesh Rane,Chennaiyin FC,Atlético de Kolkata,91.0,37.0,88.0,40.0,-1,Not from Cross,1,0,0
Match 2,66:49,Goal,Jayesh Rane,Chennaiyin FC,Atlético de Kolkata,5.0,37.0,14.0,31.0,0,Not from Cross,1,0,0
Match 2,70:44,On Target,Hans Mulder,Chennaiyin FC,Atlético de Kolkata,17.0,40.0,35.0,43.0,0,Not from Cross,1,0,0
Match 2,70:44,Goal,Hans Mulder,Chennaiyin FC,Atlético de Kolkata,16.0,40.0,36.0,42.0,1,Not from Cross,1,0,0
Match 2,72:41,On Target,Hélder Postiga,Atlético de Kolkata,Chennaiyin FC,15.0,33.0,22.0,32.0,-1,Directly from Cross,0,0,1
